소재지 주소,용도,연면적,총주차대수,옥내기계식,옥외기계식,옥내자주식,옥외자주식,사용승인일,데이터 기준일자
서울특별시 동대문구 용두동 39-803,공동주택,533.47,6,0,0,0,6,2020-03-11,2023-03-22
서울특별시 동대문구 용두동 39-808,공동주택,411.35,7,0,0,3,4,2016-09-19,2023-03-22
서울특별시 동대문구 용두동 39-811,공동주택,448.32,8,0,0,0,8,2018-12-07,2023-03-22
서울특별시 동대문구 용두동 39-860,공동주택,629.67,10,0,0,4,6,2017-06-29,2023-03-22
서울특별시 동대문구 용두동 39-868 외 2필지,공동주택,594.72,10,0,0,7,3,2019-06-10,2023-03-22
서울특별시 동대문구 용두동 39-881,공동주택,659.09,10,0,0,10,0,2018-02-22,2023-03-22
서울특별시 동대문구 용두동 39-941,공동주택,537.1,7,0,0,0,7,2014-11-25,2023-03-22
서울특별시 동대문구 용두동 39-988,공동주택,638.8,4,0,0,2,2,1992-03-06,2023-03-22
서울특별시 동대문구 용두동 39-999,공동주택,621.28,4,0,0,2,2,1992-05-08,2023-03-22
서울특별시 동대문구 용두동 102-24,공동주택,299.58,4,0,0,2,2,2012-08-10,2023-03-22
서울특별시 동대문구 용두동 102-112,공동주택,659.93,10,0,0,10,0,2017-06-15,2023-03-22
서울특별시 동대문구 용두동 102-138,공동주택,521.54,6,0,0,5,1,2002-06-01,2023-03-22
서울특별시 동대문구 용두동 102-140,공동주택,922.47,8,0,0,0,8,2003-06-24,2023-03-22
서울특별시 동대문구 용두동 102-172,공동주택,2906.32,29,0,0,6,23,2007-09-14,2023-03-22
서울특별시 동대문구 용두동 102-190,공동주택,443.09,6,0,0,0,6,2012-04-02,2023-03-22
서울특별시 동대문구 용두동 102-199,공동주택,517.49,7,0,0,5,2,2016-07-22,2023-03-22
서울특별시 동대문구 용두동 104-33,공동주택,3558.65,35,32,0,0,3,2019-10-08,2023-03-22
서울특별시 동대문구 용두동 104-33,공동주택,3358.65,32,32,0,0,0,2019-10-08,2023-03-22
서울특별시 동대문구 용두동 104-34,공동주택,3070.33,50,48,0,2,0,2019-06-27,2023-03-22
서울특별시 동대문구 용두동 104-34,공동주택,3070.33,50,48,0,2,0,2019-06-27,2023-03-22
서울특별시 동대문구 용두동 105-30,공동주택,430.79,6,0,0,4,2,2002-07-04,2023-03-22
서울특별시 동대문구 용두동 105-40,공동주택,659.22,5,0,0,0,5,1996-07-02,2023-03-22
서울특별시 동대문구 용두동 112-72,공동주택,320.96,5,0,0,0,5,2016-04-04,2023-03-22
서울특별시 동대문구 용두동 112-73,공동주택,317.72,6,0,0,3,3,2015-08-27,2023-03-22
