지형지물부호,관리번호,행정읍면동,법정읍면동,도엽번호,관리기관,도로구간번호,설치일자,주차장위치구분,주차요금구분,요금,주차면수,장애자주차면수,전체면적,운영시간(개장시간),운영시간(폐장시간),주차방향,데이터기준일자
AE230,9,4717012700,4717012700,368072064B,MNG001,64107,2017-01-01,PST001,CHR001,,2,0,20.8,,,PKN003,2023-08-31
AE230,121,4717014300,4717011700,368072065D,MNG001,67,2017-01-01,PST001,CHR002,,4,1,0,,,PKN001,2023-08-31
AE230,5039,4717012700,4717012700,368072053D,MNG001,5389,2017-01-01,PST001,CHR001,무료,4,0,43.45,0:00,0:00,PKN001,2023-08-31
AE230,114,4717014300,4717011900,368072065D,MNG001,69,2017-01-01,PST001,CHR002,,1,0,0,,,PKN001,2023-08-31
AE230,8015,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,17,0,163.63,0:00,0:00,PKN003,2023-08-31
AE230,204,4717011000,4717011000,368081681D,MNG001,514,2017-01-01,PST001,CHR001,,2,0,23.95,,,PKN001,2023-08-31
AE230,259,4717014500,4717014000,368072506A,MNG001,1998,2017-01-01,PST001,CHR001,,31,0,384.54,,,PKN001,2023-08-31
AE230,100012,4717011000,4717013700,368081698C,MNG001,140362,1990-01-01,PST002,CHR001,무료,9,0,107.5,0:00,0:00,PKN003,2023-08-31
AE230,222,4717011000,4717011000,368081681A,MNG001,657,2017-01-01,PST001,CHR001,,8,0,102.38,,,PKN001,2023-08-31
AE230,8003,4717055500,4717013000,368081655D,MNG001,8005,2010-01-01,PST002,CHR001,무료,6,0,55.54,0:00,0:00,PKN003,2023-08-31
AE230,100009,4717014300,4717012500,368072065B,MNG001,140259,2010-01-01,PST002,CHR001,무료,6,0,62.36,0:00,0:00,PKN003,2023-08-31
AE230,211,4717011000,4717011000,368081681D,MNG001,865,2017-01-01,PST001,CHR001,,1,0,11.86,,,PKN001,2023-08-31
