주차장관리번호,"주차혼잡상태",총주차구획수,총잔여주차구획수,주차예약가능단위구획수
44703-19299-00014-00-1,,105,0,
44052-29299-00014-00-1,,83,0,
44019-29299-00014-00-1,,73,0,
44026-19299-00014-00-1,,156,0,
44659-29299-00053-00-1,,775,0,
44659-29299-00054-00-1,,388,0,
44659-29299-00055-00-1,,77,0,
44659-29299-00056-00-1,,257,0,
44707-29299-00015-00-1,,447,0,
44638-29299-00015-00-1,,123,0,
44241-19299-00015-00-1,,126,0,
44660-29299-00043-00-1,,519,0,
44702-29299-00015-00-1,,530,0,
44660-29299-00044-00-1,,333,0,
44660-29299-00045-00-1,,1316,0,
44719-19299-00015-00-1,,103,0,
44923-29299-00015-00-1,,231,0,
45006-19299-00015-00-1,,179,0,
45001-19299-00015-00-1,,131,0,
44623-29299-00016-00-1,,248,0,
44713-29299-00015-00-1,,155,0,
44686-29299-00015-00-1,,98,0,
44601-19299-00015-00-1,,145,0,
44701-29299-00015-00-1,,211,0,
44703-19299-00015-00-1,,105,0,
44052-29299-00015-00-1,,83,0,
44019-29299-00015-00-1,,73,0,
44026-19299-00015-00-1,,156,0,
44659-29299-00057-00-1,,775,0,
44659-29299-00058-00-1,,388,0,
44659-29299-00059-00-1,,77,0,
44659-29299-00060-00-1,,257,0,
44707-29299-00016-00-1,,447,0,
44638-29299-00016-00-1,,123,0,
44241-19299-00016-00-1,,126,0,
44660-29299-00046-00-1,,519,0,
44702-29299-00016-00-1,,530,0,
44660-29299-00047-00-1,,333,0,
44660-29299-00048-00-1,,1316,0,
44719-19299-00016-00-1,,103,0,
44923-29299-00016-00-1,,231,0,
45006-19299-00016-00-1,,179,0,
45001-19299-00016-00-1,,131,0,
44623-29299-00017-00-1,,248,0,
44713-29299-00016-00-1,,155,0,
44686-29299-00016-00-1,,98,0,
44601-19299-00016-00-1,,145,0,
44701-29299-00016-00-1,,211,0,
44703-19299-00016-00-1,,105,0,
44052-29299-00016-00-1,,83,0,
44019-29299-00016-00-1,,73,0,
44026-19299-00016-00-1,,156,0,
44659-29299-00061-00-1,,775,0,
44659-29299-00062-00-1,,388,0,
44659-29299-00063-00-1,,77,0,
44659-29299-00064-00-1,,257,0,
44707-29299-00670-00-1,,447,0,
44638-29299-00670-00-1,,125,0,
44241-19299-00670-00-1,,126,0,
44660-29299-02008-00-1,,600,0,
44702-29299-00670-00-1,,532,0,
44660-29299-02009-00-1,,2000,0,
44660-29299-02010-00-1,,0,0,
44719-19299-00670-00-1,,90,0,
