건물명,도로명주소,지번주소,종류,대수,최종검사일자,검사결과,관리인배치여부,기타
 ,경상북도 포항시 남구 효자동길2번길 49 (효자동 168) ,경상북도 포항시 남구 효자동 168,2단식,6,2020-11-13,적,무,건물명미정
 ,부산광역시 사상구 광장로81번길 14 (괘법동 545-7),부산광역시 사상구 괘법동 545-7,2단식,6,2020-12-04,적,무,건물명미정
 ,대전광역시 서구 문정로89번길 12 (탄방동 740) ,대전광역시 서구 탄방동 740,2단식,6,2020-12-22,부,무,건물명미정
 ,부산광역시 동래구 반송로208번가길 14 (안락동 425-68) ,부산광역시 동래구 안락동 425-68,수직순환식,6,2021-01-07,적,무,건물명미정
 ,"서울특별시 관악구 남부순환로181길 39 (신림동, 온누리)",서울특별시 관악구 신림동 1423-8,다단식,6,2021-02-09,적,무,건물명미정
 ,부산광역시 연제구 신촌로 35 (연산동 1500-3) ,부산광역시 연제구 연산동 1500-3,수직순환식,6,2021-02-10,적,무,건물명미정
 ,울산광역시 동구 방어진순환도로 460 (방어동),울산광역시 동구 방어동 1080-11,2단식,6,2021-03-16,적,무,건물명미정
 ,서울특별시 관악구 신림로65길 14 (신림동 1432-94) ,서울특별시 관악구 신림동 1432-94,다단식,6,2021-03-23,적,무,건물명미정
 ,서울특별시 성동구 무학봉15라길 5-1 (하왕십리동 989-20) ,서울특별시 성동구 하왕십리동 989-20,수직순환식,6,2021-04-30,적,무,건물명미정
 ,서울특별시 동작구 보라매로 77 (신대방동),서울특별시 동작구 신대방동 344-23,수직순환식,6,2021-06-28,부,무,건물명미정
 ,대전광역시 유성구 지족로 152 (지족동 1046-1) ,대전광역시 유성구 지족동 1046-1,다단식,6,2021-08-09,적,무,건물명미정
 ,서울특별시 영등포구 선유로 52 (문래동3가 77-45) ,서울특별시 영등포구 문래동3가 77-45,2단식,6,2021-08-18,적,무,건물명미정
 ,서울특별시 관악구 봉천로20길 38 (신림동 1419-30) ,서울특별시 관악구 신림동 1419-30,다층순환식,6,2021-08-18,부,무,건물명미정
 ,"부산광역시 수영구 수영로674번길 17-5 (광안동, 피노키오) ",부산광역시 수영구 광안동 88-23,수직순환식,6,2021-08-20,적,무,건물명미정
 ,서울특별시 관악구 쑥고개로 104 (봉천동 1574-15) ,서울특별시 관악구 봉천동 1574-15,수직순환식,6,2021-08-23,적,무,건물명미정
 ,대전광역시 서구 동서대로 688(도안동),대전광역시 서구 도안동 851,2단식,7,2014-04-16,적,무,건물명미정
 ,전라남도 나주시 빛가람로 731 (빛가람동),전라남도 나주시 빛가람동 208-1,2단식,7,2014-11-24,적,무,건물명미정
 ,서울특별시 금천구 범안로12길 29-25 (독산동 1006-115),서울특별시 금천구 독산동 1006-115,다단식,7,2016-11-18,적,무,건물명미정
 ,서울특별시 은평구 연서로 295-1 (불광동 430-7) ,서울특별시 은평구 불광동 430-7,수직순환식,7,2016-11-29,적,무,건물명미정
 ,부산광역시 남구 진남로30번길 29 (대연동 288-2) ,부산광역시 남구 대연동 288-2,수직순환식,7,2018-03-26,적,무,건물명미정
 ,경기도 화성시 정남면 용수리 58-160,경기도 화성시 정남면 용수리 58-160,수직순환식,7,2019-09-19,적,무,건물명미정
 ,서울특별시 용산구 원효로 182 (원효로2가 44-7),서울특별시 용산구 원효로2가 44-7,수직순환식,7,2019-11-05,적,무,건물명미정
 ,서울특별시 강북구 도봉로 177 (미아동 304-8) ,서울특별시 강북구 미아동 304-8,수직순환식,7,2019-11-20,적,무,건물명미정
 ,강원도 원주시 황금로 24 (반곡동 1905-4) ,강원도 원주시 반곡동 1905-4,2단식,7,2019-12-13,적,무,건물명미정
 ,충청남도 천안시 동남구 청당동 492,충청남도 천안시 동남구 청당동 492,2단식,7,2020-01-06,적,무,건물명미정
 ,서울특별시 강동구 고덕로20길 53 (암사동),서울특별시 강동구 암사동 473,수직순환식,7,2020-01-17,적,무,건물명미정
